S 18d0cc,1 miss 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 miss eviction 
L 10b0b0,4 hit 
L 10b0b0,4 hit 
S 4030534,4 miss eviction 
S 4030534,4 hit 
S 4c316c8,8 hit 
L 10b0b4,1 hit 
L 4c35ff8,8 hit 
L 4c36000,8 hit 
L 4c36358,8 miss eviction 
L 10b0b5,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 miss eviction 
L 4c00082,1 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 4030538,1 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0a0,32 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0b8,4 hit 
L 10b0b6,4 hit 
S 403053b,4 hit 
S 4030539,4 hit 
S 4c316c8,8 hit 
L 10b0bc,1 hit 
L 10b0bd,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00082,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 403053f,1 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0a0,32 hit 
L 10b0c0,32 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0be,8 hit 
L 10b0be,8 hit 
S 4030540,8 miss eviction 
S 4030540,8 hit 
S 4c316c8,8 hit 
L 10b0c6,1 miss eviction 
L 10b0c7,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00082,1 hit 
L 4c00083,1 hit 
L 4c00086,1 hit 
L 4c00089,1 hit 
L 4c00082,1 hit 
L 4c00080,1 hit 
L 4c00084,1 hit 
L 4c00087,1 hit 
L 4c00086,1 hit 
L 4c00081,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 miss eviction 
S 403054a,8 miss eviction 
S 4030548,8 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0c8,32 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 miss eviction 
L 10b0c9,2 miss eviction 
L 10b0c8,2 hit 
S 4030553,2 miss eviction 
S 4030552,2 hit 
S 4c316c8,8 hit 
L 10b0cb,1 hit 
L 4c316a0,4 hit 
L 4c31728,8 hit 
L 4c334c4,4 miss eviction 
S 4c334c4,4 hit 
S 4c334c8,8 hit 
L 4a44518,4 hit 
M 4c334c0,4 hit hit 
L 4a44528,8 miss eviction 
L 4a44528,8 hit 
L 10d1cc,4 hit 
S 14d248,4 hit 
L 10d1d0,4 hit 
S 14d2c8,4 miss eviction 
L 10d1d4,4 hit 
S 14d348,4 miss eviction 
L 10d1d8,4 hit 
S 14d3c8,4 hit 
L 10d1dc,4 hit 
S 14d448,4 miss eviction 
S 14d1c8,4 miss eviction 
L 10cf80,8 miss eviction 
L 4a44528,8 hit 
L 4c2ff48,8 miss eviction 
L 4c31788,8 miss eviction 
L 4a44528,8 hit 
L 4c2fe70,8 miss eviction 
L 4a44480,4 miss eviction 
L 4c31760,4 hit 
L 4c316a0,4 hit 
L 4c30040,8 miss eviction 
L 10b0d0,32 miss eviction 
L 4c36170,4 hit 
L 4c2ff68,8 miss eviction 
L 4c31728,8 hit 
L 4a44510,8 hit 
L 4c334c8,8 miss eviction 
L 4a44518,4 hit 
M 4c334c0,4 hit hit 
L 4c31728,8 hit 
S 4c334c8,8 hit 
M 4c334c4,4 hit hit 
L 4c31778,8 miss eviction 
L 4c324d8,8 miss eviction 
L 4c316c8,8 miss eviction 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 miss eviction 
L 10b0d3,8 miss eviction 
L 10b0d0,8 hit 
S 4030558,8 miss eviction 
S 4030555,8 hit 
S 4c316c8,8 hit 
L 10b0db,1 hit 
L 4c35ff8,8 hit 
L 4c36000,8 hit 
L 4c36358,8 miss eviction 
L 10b0dc,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 miss eviction 
L 4c00082,1 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 miss eviction 
S 4030560,1 miss eviction 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0dd,32 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0df,4 miss eviction 
L 10b0dd,4 hit 
S 4030563,4 hit 
S 4030561,4 hit 
S 4c316c8,8 hit 
L 10b0e3,1 hit 
L 10b0e4,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00088,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 4030567,1 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0e0,32 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0e5,8 hit 
L 10b0e5,8 hit 
S 4030568,8 hit 
S 4030568,8 hit 
S 4c316c8,8 hit 
L 10b0ed,1 hit 
